mass_A
t,x,y,v_{x},v_{y},v
0.000000000E0,3.609509411E0,2.727855547E1,,,
1.666666667E-3,3.986970110E0,2.741653438E1,1.752271080E1,2.229870377E1,2.835978814E1
3.500000000E-2,4.222804289E0,2.805901010E1,7.239167578E0,1.355764693E1,1.536929853E1
6.833333333E-2,4.469581282E0,2.832037751E1,7.007054652E0,1.283449797E1,1.462269309E1
1.016666667E-1,4.689941266E0,2.891464330E1,1.246750690E1,1.861779347E1,2.240671690E1
1.350000000E-1,5.300748409E0,2.956156374E1,1.693795620E1,2.071648582E1,2.675943095E1
1.683333333E-1,5.819138346E0,3.029574235E1,4.925947205E0,1.632555458E1,1.705252733E1
2.016666667E-1,5.629144889E0,3.064993405E1,1.312741732E1,1.251501571E1,1.813710847E1
2.350000000E-1,6.694299500E0,3.113007673E1,2.521681196E1,1.421081640E1,2.894537801E1
2.683333333E-1,7.310265687E0,3.159732181E1,1.701534185E1,1.802135528E1,2.478489669E1
3.016666667E-1,7.828655623E0,3.233150042E1,1.932354415E1,3.157439366E1,3.701812656E1
3.350000000E-1,8.598501964E0,3.370228139E1,2.725416450E1,3.719681170E1,4.611282125E1
3.683333333E-1,9.645599923E0,3.481128787E1,2.043895248E1,3.969847813E1,4.465109119E1
4.016666667E-1,9.961098796E0,3.634884660E1,1.770512911E1,4.096865776E1,4.463073509E1
4.350000000E-1,1.082594186E1,3.754253172E1,2.455903395E1,3.711942606E1,4.450840302E1
4.683333333E-1,1.159836773E1,3.882347500E1,3.383721957E1,4.278053692E1,5.454476847E1
5.016666667E-1,1.308175650E1,4.039456751E1,5.008538851E1,4.054972026E1,6.444242357E1
5.350000000E-1,1.493739363E1,4.152678968E1,5.443762692E1,2.988527654E1,6.210140883E1
5.683333333E-1,1.671093163E1,4.238691928E1,5.170380355E1,3.115545617E1,6.036510375E1
6.016666667E-1,1.838431386E1,4.360382010E1,4.215476816E1,3.492730222E1,5.474432317E1
6.350000000E-1,1.952124951E1,4.471540610E1,4.488859153E1,3.365712260E1,5.610514728E1
6.683333333E-1,2.137688663E1,4.584762827E1,5.213686589E1,3.678183875E1,6.380561454E1
7.016666667E-1,2.299704057E1,4.716752868E1,5.512793152E1,3.511377811E1,6.536104533E1
7.350000000E-1,2.505208207E1,4.818854681E1,5.670715205E1,3.529864071E1,6.679592151E1
7.683333333E-1,2.677751737E1,4.952077139E1,5.169406010E1,4.236978496E1,6.683916911E1
8.016666667E-1,2.849835274E1,5.101319914E1,3.972687292E1,3.085265141E1,5.030020409E1
8.350000000E-1,2.942597556E1,5.157761482E1,3.763435509E1,2.803318768E1,4.692764958E1
8.683333333E-1,3.100730975E1,5.288207832E1,4.767223657E1,3.104662537E1,5.689055358E1
9.016666667E-1,3.260412467E1,5.364738985E1,5.321856372E1,2.580991309E1,5.914699602E1
9.350000000E-1,3.455521399E1,5.460273919E1,6.138324702E1,2.334636439E1,6.567309757E1
9.683333333E-1,3.669634114E1,5.520381414E1,5.591432358E1,2.588731681E1,6.161627020E1
1.001666667E0,3.828283557E1,5.632856031E1,5.306375628E1,3.120143281E1,6.155722249E1
1.035000000E0,4.023392489E1,5.728390966E1,6.947052659E1,2.357857554E1,7.336281953E1
1.068333333E0,4.291420400E1,5.790046535E1,7.232109389E1,1.826445954E1,7.459176297E1
1.101666667E0,4.505533115E1,5.850154029E1,5.876489087E1,2.057320081E1,6.226209915E1
1.135000000E0,4.683186340E1,5.927201207E1,5.599172730E1,2.319155695E1,6.060463546E1
1.168333333E0,4.878811297E1,6.004764409E1,6.146065073E1,2.065060453E1,6.483717341E1
1.201666667E0,5.092924011E1,6.064871904E1,7.232109389E1,1.826445954E1,7.459176297E1
1.235000000E0,5.360951923E1,6.126527473E1,6.708438161E1,1.271813238E1,6.827931712E1
1.268333333E0,5.540153222E1,6.149659453E1,6.169286189E1,1.256332495E1,6.295908466E1
1.301666667E0,5.772237669E1,6.210282972E1,7.786742104E1,1.302774726E1,7.894971474E1
1.335000000E0,6.059269362E1,6.236511101E1,7.548127605E1,2.167304102E0,7.551238469E1
1.368333333E0,6.275446176E1,6.224731666E1,7.825443963E1,-4.510520390E-1,7.825573953E1
1.401666667E0,6.580965626E1,6.233504088E1,9.173323893E1,-6.403344938E-2,9.173326128E1
1.435000000E0,6.887001102E1,6.224304777E1,9.173323893E1,-6.403344938E-2,9.173326128E1
1.468333333E0,7.192520553E1,6.233077198E1,9.450640250E1,-2.682389591E0,9.454446218E1
1.501666667E0,7.517043785E1,6.206422179E1,9.735696980E1,-7.996505591E0,9.768481801E1
